stu_id,Name,Subjects,Title,stu_school,stu_year,stu_jel,Field,academic_year,Origin,Scopus_name,stu_scopus,repec_name,stu_repec
"QUAYES, MUHAMMAD SHAKIL;University of Illinois;2000","Quayes, Muhammad Shakil","Microeconomic Analyses of Economic Development;Economic Development: Agriculture; Natural Resources; Energy; Environment; Other Primary Products;Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets",The Agricultural Household in Bangladesh: A Disaggregated Empirical Analysis with Emphasis on the Demand for Food Calories,University of Illinois,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Quayes, Shakil S.",7801639561,,
"RANGEL, GUSTAVO BORGES;University of Illinois;2000","Rangel, Gustavo Borges",Formal and Informal Sectors; Shadow Economy; Institutional Arrangements;Contract Law,The Inefficiency of the Judiciary and Alternative Forms of Social Control: A Case Study of Rental Contracts in Brazil,University of Illinois,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Rangel, Gustavo Borges",57193174529,,
"TANNURI, MARIA EDUARDA ABDALLA;University of Illinois;2000","Tannuri, Maria Eduarda Abdalla","Geographic Labor Mobility; Immigrant Workers;Demographic Trends, Macroeconomic Effects, and Forecasts",Three Essays on the Economics of Immigration to the U.S.,University of Illinois,2000,J,Labor and Demographic Economics,2000-2001,both,"Tannuri-Pianto, Maria",25123233400,"TANNURI-PIANTO, MARIA EDUARDA",pta443
"WALKER, ROSEMARY LYNN;University of Illinois;2000","Walker, Rosemary Lynn","Personnel Economics: Firm Employment Decisions; Promotions;Job, Occupational, and Intergenerational Mobility; Promotion",A Comparison of Promotional Decisions for Employees with One or Multiple Positions in a Firm Using a Learning Approach,University of Illinois,2000,M,Business Administration and Business Economics - Marketing - Accounting,2000-2001,both,"Walker, Rosemary L.",7404928327,,
"WEIKEL, BRIAN KEITH;University of Illinois;2000","Weikel, Brian Keith",Model Construction and Estimation;Financial Economics: General,Essays on Semiparametric Methods in Finance,University of Illinois,2000,C,Mathematical and Quantitative Methods,2000-2001,both,,,,
"ROSS, HANA;University of Illinois, Chicago;2000","Ross, Hana",Health: Government Policy; Regulation; Public Health;Fertility; Family Planning; Child Care; Children; Youth;Health Behavior,The Effect of Cigarette Prices and Public Policies on Youth Smoking,"University of Illinois, Chicago",2000,I,"Health, Education, and Welfare",2000-2001,both,"Ross, Hana",7202351891,,
"DALMIA, SONIA;University of Iowa;2000","Dalmia, Sonia",Marriage; Marital Dissolution; Family Structure; Domestic Abuse;Economic Development: Human Resources; Human Development; Income Distribution; Migration,Dowries and Marital Equilibria: Three Essays on the Hedonic Analysis of Marriage Transactions in India,University of Iowa,2000,J,Labor and Demographic Economics,2000-2001,both,"Dalmia, Sonia",23026952100,,
"CHANDRA, AMITABH;University of Kentucky;2000","Chandra, Amitabh","Labor Discrimination;Economics of Minorities, Races, Indigenous Peoples, and Immigrants; Non-labor Discrimination;Time Allocation and Labor Supply;Wage Level and Structure; Wage Differentials",Labor Market Dropouts and the Racial Wage Gap: 1940-90,University of Kentucky,2000,J,Labor and Demographic Economics,2000-2001,both,"Chandra, Amitabh",7201668832,"CHANDRA, AMITABH",pch893
"CLIFFORD, MARYANNE;University of Kentucky;2000","Clifford, MaryAnne",Search; Learning; Information and Knowledge; Communication; Belief; Unawareness,International Knowledge Spillovers at the Sectoral Level,University of Kentucky,2000,D,Microeconomics,2000-2001,both,"Clifford, Maryanne T.",41861161900,,
"MESSER, JODI;University of Kentucky;2000","Messer, Jodi",Health Behavior;Safety; Job Satisfaction; Related Public Policy,"Health, Timing of Illness, and Labor Market Outcomes",University of Kentucky,2000,I,"Health, Education, and Welfare",2000-2001,both,"Messer, Jodi",7102449239,,
"SHAMBORA, WILLIAM;University of Kentucky;2000","Shambora, William","Interest Rates: Determination, Term Structure, and Effects;Asset Pricing; Trading Volume; Bond Interest Rates",Role of Time Movement of Short-Term Interest Rates on the Inference about the Expectations Hypothesis of the Term Structure,University of Kentucky,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,"Shambora, William E.",14039327200,,
"ANDERSON, GARY W., JR.;University of Maryland;2000","Anderson, Gary W., Jr.","Multinational Firms; International Business;Production, Pricing, and Market Structure; Size Distribution of Firms;Technological Change: Choices and Consequences; Diffusion Processes","Multinational Corporations: Entry Mode, Technology, Transfer and Performance Requirements",University of Maryland,2000,F,International Economics,2001-2002,both,"Anderson, Gary",57196123708,,
"DUTTAGUPTA, RUPA;University of Maryland;2000","Duttagupta, Rupa",Trade Policy; International Trade Organizations;Models of Trade with Imperfect Competition and Scale Economies; Fragmentation,Intermediate Inputs and Rules of Origin--Implications for Welfare and Viability of Free Trade Agreements,University of Maryland,2000,F,International Economics,2000-2001,both,"Duttagupta, Rupa",6602306749,,
"DVORAK, TOMAS;University of Maryland;2000","Dvorak, Tomas",Current Account Adjustment; Short-term Capital Movements;International Investment; Long-term Capital Movements,Gross International Capital Flows,University of Maryland,2000,F,International Economics,2000-2001,both,"Dvořák, Tomáš",36927421500,"DVORAK, TOMAS",pdv2
"FIGURA, JOHN ANDREW;University of Maryland;2000","Figura, John Andrew",Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity;Business Fluctuations; Cycles;Demand and Supply of Labor: General,The Cyclical Behavior of Short-Term and Long-Term Job Flows,University of Maryland,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,,,,
"HARRIS, AMY L.;University of Maryland;2000","Harris, Amy L.",State and Local Budget and Expenditures;Economics of the Elderly; Economics of the Handicapped; Non-labor Market Discrimination;Retirement; Retirement Policies;Educational Finance; Financial Aid,Studies on the Relationship between the Elderly and Public Policies,University of Maryland,2000,H,Public Economics,2000-2001,both,"Harris, Amy Rehder",9272223400,,
"HEICHE, PHILIPPE H.;University of Maryland;2000","Heiche, Philippe H.",Foreign Exchange,Essays on Balance of Payments Flow Models of Exchange Rate Determination,University of Maryland,2000,F,International Economics,2000-2001,both,,,,
"ISHAM, JONATHAN T.;University of Maryland;2000","Isham, Jonathan T.",Economic Development: Human Resources; Human Development; Income Distribution; Migration;Technological Change: Choices and Consequences; Diffusion Processes;Industrialization; Manufacturing and Service Industries; Choice of Technology;Economic Sociology; Economic Anthropology; Language; Social and Economic Stratification,The Effect of Social Capital on Technology Adoption: Evidence from Rural Tanzania,University of Maryland,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Isham, Jonathan T.",6602958641,"ISHAM, JONATHAN",pis9
"RAJKUMAR, ANDREW SUNIL;University of Maryland;2000","Rajkumar, Andrew Sunil",Economic Development: General;Renewable Resources and Conservation: General,Foreign and Public Resource Management in Developing Economies,University of Maryland,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Rajkumar, Andrew Sunil",23569695100,,
"SINGER, SUSAN S.;University of Maryland;2000","Singer, Susan S.",Telecommunications,Consumer Switching Costs in the Telecommunications Industry,University of Maryland,2000,L,Industrial Organization,2000-2001,both,"Singer, Susan",55932447200,,
"STANCILL, MARTHA A.;University of Maryland;2000","Stancill, Martha A.",Socialist Enterprises and Their Transitions;Comparison of Public and Private Enterprises and Nonprofit Institutions; Privatization; Contracting Out,Collusion in Czech Small Privatization Auctions,University of Maryland,2000,P,Economic Systems,2000-2001,both,"Stancill, Martha",57196372180,,
"VESPERONI, ESTEBAN R.;University of Maryland;2000","Vesperoni, Esteban R.",Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance;Asset Pricing; Trading Volume; Bond Interest Rates,Essays on Asset Markets in Emerging Economies,University of Maryland,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Vesperoni, Esteban R.",9942073700,,
"WANG, QING;University of Maryland;2000","Wang, Qing",Trade Policy; International Trade Organizations,Trade Protection and Trade Flows,University of Maryland,2000,F,International Economics,2000-2001,both,,,"WAN, QING",pwa793
"BAIRD, KATHERINE E.;University of Massachusetts;2000","Baird, Katherine E.","Personal Income, Wealth, and Their Distributions;Labor Discrimination","Intergroup Inequality, Social Identity and Economic Outcomes",University of Massachusetts,2000,D,Microeconomics,2000-2001,both,"Baird, Katherine Elizabeth",8351881800,,
"BRAUNSTEIN, ELISSA;University of Massachusetts;2000","Braunstein, Elissa",Economics of Gender; Non-labor Discrimination;Time Allocation and Labor Supply;Trade and Labor Market Interactions,"Engendering Globalization: Household Structures, Female Labor Supply and Economic Growth",University of Massachusetts,2000,J,Labor and Demographic Economics,2000-2001,both,"Braunstein, Elissa",18435736900,"BRAUNSTEIN, ELISSA",pbr157
"DANCS, ANITA;University of Massachusetts;2000","Dancs, Anita","Socialist Systems and Transitional Economies: Political Economy; Property Rights;Socialist Systems and Transitional Economies: National Income, Product, and Expenditure; Money; Inflation",The Political Economy of Transformation in Hungary,University of Massachusetts,2000,P,Economic Systems,2000-2001,both,,,,
"FONG, CHRISTINA M.;University of Massachusetts;2000","Fong, Christina M.","Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior;Household Behavior: General",Essays on Endogenous Preferences and Public Generosity,University of Massachusetts,2000,D,Microeconomics,2000-2001,both,"Fong, Christina M.",10043611700,,
"GRAUBART, KAREN B.;University of Massachusetts;2000","Graubart, Karen B.","Economic History: Labor and Consumers, Demography, Education, Health, Welfare, Income, Wealth, Religion, and Philanthropy: Latin America; Caribbean;Economics of Gender; Non-labor Discrimination;Economic Development: Human Resources; Human Development; Income Distribution; Migration",Con Nuestro Trabajo Sudor: Indigenous Women and the Construction of Colonial Society in 16th and 17th Century Peru,University of Massachusetts,2000,N,Economic History,2000-2001,both,"Graubart, Karen B.",37561400800,,
"OSBORNE, MELISSA A.;University of Massachusetts;2000","Osborne, Melissa A.",Wage Level and Structure; Wage Differentials;Nonwage Labor Costs and Benefits; Retirement Plans; Private Pensions,The Power of Personality: Labor Market Rewards and the Transmission of Earnings,University of Massachusetts,2000,J,Labor and Demographic Economics,2000-2001,both,"Osborne, Melissa",36841883400,"OSBORNE GROVES, MELISSA",pos42
"STOCKHAMMER, ENGELBERT R.;University of Massachusetts;2000","Stockhammer, Engelbert R.",Employment; Unemployment; Wages; Intergenerational Income Distribution; Aggregate Human Capital; Aggregate Labor Productivity,Accumulation and European Unemployment,University of Massachusetts,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,"Stockhammer, Engelbert",6602304165,"STOCKHAMMER, ENGELBERT",pst92
"BRUNO LOBO, LYGIA;University of Miami;2000","Bruno Lobo, Lygia",Money and Interest Rates: Forecasting and Simulation: Models and Applications;Expectations; Speculations;Fiscal Policy;National Debt; Debt Management; Sovereign Debt,Rational Expectations and the Service of Public Debt,University of Miami,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,,,,
"JOHNSON, NATHANIEL;University of Miami;2000","Johnson, Nathaniel","Human Capital; Skills; Occupational Choice; Labor Productivity;Economics of Minorities, Races, Indigenous Peoples, and Immigrants; Non-labor Discrimination",Are Black Men More Risk-Averse than White Men in Their Choices of Occupations?,University of Miami,2000,J,Labor and Demographic Economics,2000-2001,both,,,,
"BAKIJA, JON;University of Michigan;2000","Bakija, Jon",Personal Income and Other Nonbusiness Taxes and Subsidies; includes inheritance and gift taxes;Model Construction and Estimation,Three Essays on the Economics and Econometrics of Taxation,University of Michigan,2000,H,Public Economics,2000-2001,both,"Bakija, Jon M.",6507139600,"BAKIJA, JON",pba72
"BODMER, FRANK;University of Michigan;2000","Bodmer, Frank",Wage Level and Structure; Wage Differentials;Technological Change: Choices and Consequences; Diffusion Processes,Labor Market Adjustment: The Role of Demand Shifts and Institutions,University of Michigan,2000,J,Labor and Demographic Economics,2000-2001,both,"Bodmer, Frank",6506244874,,
"CHEN, QI;University of Michigan;2000","Chen, Qi",International Investment; Long-term Capital Movements;Multinational Firms; International Business,"Essays on Foreign Direct Investments, Imperfectly Competitive Market and Political Assets",University of Michigan,2000,F,International Economics,2000-2001,both,"Chen, Qi",36670933200,,
"DAVYDOV, DMITRY;University of Michigan;2000","Davydov, Dmitry",General Financial Markets: General (includes Measurement and Data),Applications of Markov Diffusion Processes in Economics and Finance,University of Michigan,2000,G,Financial Economics,2000-2001,both,"Davydov, Dmitry",23970176300,,
"DWORAK-FISHER, KEENAN;University of Michigan;2000","Dworak-Fisher, Keenan","Urban, Rural, Regional, Real Estate, and Transportation Economics: Regional Migration; Regional Labor Markets; Population; Neighborhood Characteristics;Economics of Gender; Non-labor Discrimination;Wage Level and Structure; Wage Differentials",Structural Change in the U.S. Economy and Labor Market Outcome Differences between Groups,University of Michigan,2000,R,"Urban, Rural, and Regional Economics",2000-2001,both,"Dworak-Fisher, Keenan",6507942996,,
"FOX, ALAN;University of Michigan;2000","Fox, Alan",Trade Policy; International Trade Organizations;Models of Trade with Imperfect Competition and Scale Economies; Fragmentation,Three Essays on International Trade Policy,University of Michigan,2000,F,International Economics,2000-2001,both,"Fox, Alan K.",9533826700,"FOX, ALAN KEITH",pfo91
"HANSON, MICHAEL;University of Michigan;2000","Hanson, Michael",Model Construction and Estimation;Price Level; Inflation; Deflation;Monetary Policy,Vector Autoregressive Measures of Monetary Policy: Issues and Critiques,University of Michigan,2000,C,Mathematical and Quantitative Methods,2000-2001,both,"Hanson, Michael S.",7401973534,"HANSON, MICHAEL STEVEN",pha317
"MELITZ, MARC;University of Michigan;2000","Melitz, Marc",Trade: General,International Trade and Industry Productivity Dynamics with Heterogenous Producers,University of Michigan,2000,F,International Economics,2000-2001,both,"Melitz, Marc J.",57204379078,"MELITZ, MARC J.",pme260
"MONTGOMERY, HEATHER;University of Michigan;2000","Montgomery, Heather",Money Supply; Credit; Money Multipliers;Banks; Depository Institutions; Micro Finance Institutions; Mortgages;Financial Institutions and Services: Government Policy and Regulation,The Role of Regulatory Capital and Bank Credit in the Economy of Japan,University of Michigan,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,"Montgomery, Heather",7101923987,"MONTGOMERY, HEATHER ANNE",pmo462
"PETROPOULOS, WENDY;University of Michigan;2000","Petropoulos, Wendy","Production; Cost; Capital; Capital, Total Factor, and Multifactor Productivity; Capacity",Industry Productivity Dynamics with Capacity Utilization and Differentiated Products,University of Michigan,2000,D,Microeconomics,2000-2001,both,,,,
"QUINTANILLA, CARLOS;University of Michigan;2000","Quintanilla, Carlos",Price Level; Inflation; Deflation;Demand for Money;Asset Pricing; Trading Volume; Bond Interest Rates;Financial Markets and the Macroeconomy,"Four Essays in Hyperinflation, Money Demand, and the Stock Market",University of Michigan,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,,,,
"SONG, CHAN HO;University of Michigan;2000","Song, Chan Ho",Models of Trade with Imperfect Competition and Scale Economies; Fragmentation;Trade Policy; International Trade Organizations,Three Essays on Trade and Competition Price,University of Michigan,2000,F,International Economics,2000-2001,both,,,,
"WALLACE, RODNEY;University of Michigan;2000","Wallace, Rodney","Market Structure, Firm Strategy, and Market Performance: General;General Financial Markets: General (includes Measurement and Data)","Financial Markets, Marketing, and Information Sharing: Three Essays in Industrial Organization",University of Michigan,2000,L,Industrial Organization,2000-2001,both,"Wallace, Rodney B.",56304493200,,
"XIAO, YUAN;University of Michigan;2000","Xiao, Yuan","Monetary Policy;Interest Rates: Determination, Term Structure, and Effects",Three Essays on the Interaction of Monetary Policy and Long-Term Interest Rates,University of Michigan,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,,,,
"ARIMURA, TOSHIHIDE;University of Minnesota;2000","Arimura, Toshihide",Electric Utilities,Structural Estimation of a Stochastic Dynamic Model of Power Plants under the SO[subscript]2 Allowance Market,University of Minnesota,2000,L,Industrial Organization,2000-2001,both,"Arimura, Toshi H.",15827418100,"ARIMURA, TOSHI H.",par150
"ASWAL, NAVIN;University of Minnesota;2000","Aswal, Navin",Monopolization; Horizontal Anticompetitive Practices;Innovation and Invention: Processes and Incentives,Horizontally Differentiated Quality Ladders,University of Minnesota,2000,L,Industrial Organization,2000-2001,both,"Aswal, Navin",6504409274,,
"BANGS, JOANN;University of Minnesota;2000","Bangs, Joann",Trade Policy; International Trade Organizations,Learning by Doing and Home Country Bias,University of Minnesota,2000,F,International Economics,2000-2001,both,"Bangs, Joann",55824948600,"BANGS, JOANN",pba1105
"CHING, ANDREW TAT TIN;University of Minnesota;2000","Ching, Andrew Tat Tin",Rationing; Licensing;Chemicals; Rubber; Drugs; Biotechnology; Plastics;Intellectual Property and Intellectual Capital,Dynamic Equilibrium in the Prescription Drug Market after Patent Expiration,University of Minnesota,2000,D,Microeconomics,2000-2001,both,"Ching, Andrew T.",12143717500,"CHING, ANDREW",pch416
"GHOSH, ARGHYA;University of Minnesota;2000","Ghosh, Arghya",Empirical Studies of Trade,Essays on Technology and Trade,University of Minnesota,2000,F,International Economics,2000-2001,both,"Ghosh, Arghya",15769076500,"GHOSH, ARGHYA",pgh55
"HAUSNER, ULRICH;University of Minnesota;2000","Hausner, Ulrich",Economic Development: General;Planning Models; Planning Policy;Economic Development: Human Resources; Human Development; Income Distribution; Migration,"Structural Adjustment, Agricultural Performance and Income Distribution in Zambia: A Computable General Equilibrium Analysis",University of Minnesota,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"HUANG, MING-TUI;University of Minnesota;2000","Huang, Ming-Tui",Contingent Pricing; Futures Pricing; option pricing;Model Construction and Estimation,Threshold Autoregressive Models and Future Index Prices,University of Minnesota,2000,G,Financial Economics,2000-2001,both,,,,
"IRZ, XAVIER;University of Minnesota;2000","Irz, Xavier",Economic Growth and Aggregate Productivity: General;Computable and Other Applied General Equilibrium Models;Agriculture: General,The Contribution of Agriculture to Economic Growth: A Dynamic General Equilibrium Inquiry,University of Minnesota,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Irz, Xavier T.",6507470507,"IRZ, XAVIER THOMAS",pir27
"JESKE, KARSTEN;University of Minnesota;2000","Jeske, Karsten",International Lending and Debt Problems,Decentralizing International Debt with Risk of Repudiation,University of Minnesota,2000,F,International Economics,2000-2001,both,"Jeske, Karsten",24778747500,,
"JONK, YVONNE CATHARINA MARIA;University of Minnesota;2000","Jonk, Yvonne Catharina Maria","Analysis of Health Care Markets;Urban, Rural, Regional, Real Estate, and Transportation Economics: Other Demand;Insurance; Insurance Companies; Actuarial Studies",Insuring the Uninsured: An Analysis of the Degree of Risk Aversion and the Demand for Health Insurance in the State of Minnesota,University of Minnesota,2000,I,"Health, Education, and Welfare",2000-2001,both,"Jonk, Yvonne C.M.",6507343244,,
"KWAK, SUNGKYU;University of Minnesota;2000","Kwak, Sungkyu",Financial Institutions and Services: Government Policy and Regulation;Banks; Depository Institutions; Micro Finance Institutions; Mortgages,Three Essays on Banking and Deposit Insurance,University of Minnesota,2000,G,Financial Economics,2000-2001,both,"Kwak, Sungkyu",11139411000,,
"LIN, PEI-CHIEN;University of Minnesota;2000","Lin, Pei-Chien",Technological Change: Choices and Consequences; Diffusion Processes;Macroeconomic Analyses of Economic Development,The Contribution of Technological Progress to Aggregate and Sectoral Production: A Case Study of the Taiwanese Economy,University of Minnesota,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Lin, Pei Chien",36163129800,,
"PLATAS ROSADO, DIEGO ESTEBAN;University of Minnesota;2000","Platas Rosado, Diego Esteban","Regional Economic Activity: Growth, Development, Environmental Issues, and Changes;Micro Analysis of Farm Firms, Farm Households, and Farm Input Markets",Economic and Fiscal Impacts of Different Sizes of Swine Operations on Minnesota Counties,University of Minnesota,2000,R,"Urban, Rural, and Regional Economics",2000-2001,both,,,,
"QUINTIN, ERWAN;University of Minnesota;2000","Quintin, Erwan",Economic Development: Financial Markets; Saving and Capital Investment; Corporate Finance and Governance;Financial Institutions and Services: General;New Firms; Startups,"Entrepreneurship, Financial Intermediation and Economic Development",University of Minnesota,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Quintin, Erwan",16239656000,"QUINTIN, ERWAN",pqu11
"SUR, MONA;University of Minnesota;2000","Sur, Mona",Economic Development: Human Resources; Human Development; Income Distribution; Migration;Microeconomic Analyses of Economic Development;Human Capital; Skills; Occupational Choice; Labor Productivity;Health Behavior,"Adult Health, Nutrition, Labor Productivity and Rural Household Incomes: Empirical Evidence from Bangladesh",University of Minnesota,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"Sur, Mona",23010485600,,
"ZAKHAROVA, DARIA;University of Minnesota;2000","Zakharova, Daria",Illegal Behavior and the Enforcement of Law;Firm Organization and Market Structure,Economics of Dynastic Organizations with an Application to Criminal Gangs,University of Minnesota,2000,K,Law and Economics,2000-2001,both,,,,
"LEE, SEUNG-JAE;University of Missouri;2000","Lee, Seung-Jae",Foreign Exchange;Open Economy Macroeconomics,Determinants of Real Exchange Rate: With an Emphasis on Productivity Shocks,University of Missouri,2000,F,International Economics,2000-2001,both,,,,
"SHIN, HYUNJOON;University of Missouri;2000","Shin, Hyunjoon",International Policy Coordination and Transmission;Fiscal and Monetary Policy in Development;Monetary Policy,A Data-Oriented Study of the International Transmission of Monetary Policy Shocks: The Case of Korea,University of Missouri,2000,F,International Economics,2000-2001,both,,,,
"LANGELETT, GEORGE L.;University of Nebraska;2000","Langelett, George L.",Economic Growth of Open Economies;Empirical Studies of Economic Growth; Aggregate Productivity; Cross-Country Output Convergence;Human Capital; Skills; Occupational Choice; Labor Productivity,Human Capital and Economic Growth in the Open Economy--An Appeal to Robustness,University of Nebraska,2000,F,International Economics,2000-2001,both,"Langelett, George L.",8986062500,,
"CARVALHO DE SENA, AUGUSTO MARCOS;University of New Hampshire;2000","Carvalho De Sena, Augusto Marcos",Economic Development: General;Economic Growth and Aggregate Productivity: General,"On the Quest for Economic Growth and Development: The Developing World, the Failures Based on Physical Capital Accumulation and International Rescuers, and the Emergence of a New Perspective",University of New Hampshire,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,"de Sena, Augusto Marcos Carvalho",35774103700,,
"BLACKWELL, CALVIN;University of New Mexico;2000","Blackwell, Calvin",Tax Evasion and Avoidance,Issues in Tax Compliance,University of New Mexico,2000,H,Public Economics,2000-2001,both,"Blackwell, Calvin",12445131400,"BLACKWELL, CALVIN",pbl87
"O'DONNELL, KELLY;University of New Mexico;2000","O'Donnell, Kelly",Fertility; Family Planning; Child Care; Children; Youth;Measurement and Analysis of Poverty;Analysis of Health Care Markets,Poverty and the Health of Children in New Mexico,University of New Mexico,2000,J,Labor and Demographic Economics,2000-2001,both,,,,
"TAYLOR, WILLIAM;University of New Mexico;2000","Taylor, William",Sports; Gambling; Restaurants; Recreation; Tourism,Economics of Indian Gaming in New Mexico,University of New Mexico,2000,L,Industrial Organization,2000-2001,both,"Taylor, William E.",57213201038,"TAYLOR, WILLIAM E.",pta578
"BRAY, JEREMY W.;University of North Carolina;2000","Bray, Jeremy W.",Human Capital; Skills; Occupational Choice; Labor Productivity;Wage Level and Structure; Wage Differentials,Identifying Inputs to the Human Capital Production Function: The Effects of Alcohol Use on Human Capital Formation,University of North Carolina,2000,J,Labor and Demographic Economics,2000-2001,both,"Bray, Jeremy W.",7102443172,"BRAY, JEREMY W.",pbr563
"DHAR, SUMANA;University of North Carolina;2000","Dhar, Sumana",International Linkages to Development; Role of International Organizations;Trade and Labor Market Interactions;Economic Development: Human Resources; Human Development; Income Distribution; Migration,Essays in Development: Trade and Labor Issues,University of North Carolina,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"HUTCHINSON, PAUL L.;University of North Carolina;2000","Hutchinson, Paul L.",Analysis of Health Care Markets,Estimating the Demand for Preventive Health Services Controlling for Endogenous Public Sector Resource Allocations,University of North Carolina,2000,I,"Health, Education, and Welfare",2000-2001,both,"Hutchinson, Paul Lawrence",9239652500,,
"MANCINI, DOMINIC J.;University of North Carolina;2000","Mancini, Dominic J.",Analysis of Health Care Markets;Economic Development: Human Resources; Human Development; Income Distribution; Migration,"The Effectiveness and Cost of Health Delivery Systems in Cote d'Ivoire, Nigeria, and Tanzania: Private versus Public Allocation, Quality of Service Provision, and Management Structure",University of North Carolina,2000,I,"Health, Education, and Welfare",2000-2001,both,"Mancini, Dominic J.",7102090949,,
"MARENO, MARIA ANTONIA;University of Notre Dame;2000","Mareno, Maria Antonia",Fiscal Policy;Macroeconomic Analyses of Economic Development;Fiscal and Monetary Policy in Development;Price Level; Inflation; Deflation,Venezuela: Fiscal Deficit and Inflation,University of Notre Dame,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,,,,
"NYCE, STEVEN ATWOOD;University of Notre Dame;2000","Nyce, Steven Atwood",Nonwage Labor Costs and Benefits; Retirement Plans; Private Pensions;Pension Funds; Non-bank Financial Institutions; Financial Instruments; Institutional Investors;Retirement; Retirement Policies,Corporate Pension Funding Strategies: Industry and Regulatory Effects,University of Notre Dame,2000,J,Labor and Demographic Economics,2000-2001,both,"Nyce, Steven A.",8272387000,,
"HIRUNRAENGCHOK, ATHIPONG;University of Oregon;2000","Hirunraengchok, Athipong",Foreign Exchange;Current Account Adjustment; Short-term Capital Movements,Three Essays on International Capital Movements and Exchange Rates,University of Oregon,2000,F,International Economics,2000-2001,both,,,,
"MCGOUGH, BRUCE B.;University of Oregon;2000","McGough, Bruce B.",Monetary Policy;Energy: General,"Learning, Oil Price Shocks, and Monetary Policy",University of Oregon,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,"McGough, Bruce",8290560000,"MCGOUGH, BRUCE",pmc91
"RUSSELL, JEFFREY E.;University of Oregon;2000","Russell, Jeffrey E.",Time Allocation and Labor Supply;Marriage; Marital Dissolution; Family Structure; Domestic Abuse,The Family Time Crunch: An Analysis of Changes in the Labor Supply Patterns of Married Couples since 1940,University of Oregon,2000,J,Labor and Demographic Economics,2000-2001,both,,,,
"TERADA, KEVIN A.;University of Oregon;2000","Terada, Kevin A.",Business Fluctuations; Cycles,Conditional Asymmetry and the Business Cycle,University of Oregon,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,,,,
"ALESSANDRIA, GEORGE;University of Pennsylvania;2000","Alessandria, George",Open Economy Macroeconomics;Models of Trade with Imperfect Competition and Scale Economies; Fragmentation,Essays in International Economics,University of Pennsylvania,2000,F,International Economics,2000-2001,both,"Alessandria, George",8544896700,"ALESSANDRIA, GEORGE",pal70
"FOGLI, ALESSANDRA;University of Pennsylvania;2000","Fogli, Alessandra",Macroeconomics and Monetary Economics: General,Topics in Macroeconomics with Frictions,University of Pennsylvania,2000,E,Macroeconomics and Monetary Economics,2000-2001,both,"Fogli, Alessandra",22234307700,"FOGLI, ALESSANDRA",pfo48
"JO, SEUNG-GYU;University of Pennsylvania;2000","Jo, Seung-Gyu",Models of Trade with Imperfect Competition and Scale Economies; Fragmentation;Trade Policy; International Trade Organizations,Essays on Strategic Trade Policy,University of Pennsylvania,2000,F,International Economics,2000-2001,both,"Jo, Seung-gyu",36503965700,"JO, SEUNG-GYU",pjo102
"NISHIYAMA, SHINICHI;University of Pennsylvania;2000","Nishiyama, Shinichi",Altruism; Philanthropy; Intergenerational Transfers;Criteria for Decision-Making under Risk and Uncertainty,"Altruism, Lifetime Uncertainty and Intergenerational Transfers",University of Pennsylvania,2000,D,Microeconomics,2000-2001,both,"Nishiyama, Shinichi",23091601400,"NISHIYAMA, SHINICHI",pni21
"POONPATPIBUL, CHAIPAT;University of Pennsylvania;2000","Poonpatpibul, Chaipat",International Linkages to Development; Role of International Organizations;International Finance: General,Asian Currency Crisis Contagion,University of Pennsylvania,2000,O,"Economic Development, Technological Change, and Growth",2000-2001,both,,,,
"SCHINDLER, JOHN;University of Pennsylvania;2000","Schindler, John","Unemployment: Models, Duration, Incidence, and Job Search;Model Construction and Estimation;Model Evaluation, Validation, and Selection",Bayesian Estimation and Testing of Job Search Models,University of Pennsylvania,2000,J,Labor and Demographic Economics,2000-2001,both,"Schindler, John W.",56244599200,,
