adv_scopus,adv_jel
36015345700,F
36053923800,L
36067107100,J
36084396400,C
36109285800,O
36137396900,L
36187349000,L
36439009300,F
36468701600,E
36475802100,R
36481234900,P
36505307800,J
36507688400,J
36640909000,G
36676469800,C
36718829300,H
36762783500,F
36781806900,E
36786315500,G
36795932400,J
36820436100,J
36828047700,C
36840355500,H
36848359600,M
36852960600,D
36854298100,M
36855902100,G
36860440200,D
36874874200,M
36884142900,H
36885501000,D
36897652900,G
36917342200,H
37086223400,F
51162339200,D
54885038500,G
55136884800,D
55144580700,G
55161555400,D
55183395400,D
55184199400,R
55188899400,F
55197210600,D
55217914100,F
55230945300,C
55245605900,F
55284298800,D
55331486100,J
55333425500,E
55336508500,D
55347647300,L
55370313000,C
55405360300,E
55417553200,E
55422801200,R
55422818200,C
55431835700,L
55435798700,D
55435947600,J
55436266500,C
55439615500,J
55448536600,J
55455574800,G
55456548300,G
55461482500,H
55462540300,L
55463091400,O
55463094200,L
55463835400,J
55464900100,E
55469558900,L
55470572900,F
55471925600,G
55476171100,M
55478148800,J
55479629100,J
55484106000,R
55484238600,O
55487980200,J
55498582600,E
55499943900,G
55553264700,E
55559882900,F
55586996000,D
55587146100,I
55629589500,L
55662835300,J
55663845800,I
55664529700,F
55665917100,G
55666738200,I
55682270800,M
55682884500,G
55688050200,O
55698907900,C
55709594000,G
55709597300,G
55710642300,D
55711896900,O
55712350600,D
55713676900,I
55722576800,R
55722901900,G
55726410700,C
55728942800,C
55740119700,D
55824322100,G
55824766400,H
55824909100,O
55824919400,O
55833487200,N
55855717700,R
55879597300,G
55886519200,H
55892996300,H
55893210800,D
55897948300,G
55899210700,F
55904773500,G
55916135700,O
55919928700,L
55936061300,F
55939990800,O
55942109100,E
55952373900,R
55953075000,F
55953326600,H
55985640700,O
55985839500,D
55986216500,D
55987139300,D
55999968100,F
56009422500,G
56011408200,E
56037568700,L
56049176000,E
56090255900,L
56122021600,D
56123271700,C
56128096900,C
56128402200,D
56154737700,G
56169112500,F
56186358900,O
56187272800,E
56207793000,E
56209838200,E
56210585900,C
56212006800,M
56224163300,R
56225438400,E
56230517900,D
56230523500,E
56230600900,D
56234103000,E
56234827000,H
56238070900,J
56238346500,K
56238848100,K
56240494400,E
56243126500,F
56246409100,E
56253760900,G
56260191600,C
56264188800,D
56271139400,G
56295599600,G
56417572200,K
56426102400,H
56444583400,E
56450132900,E
56572650600,H
56578915600,D
56603678600,H
56617328600,E
56633265900,L
56662704700,G
56876003500,F
56925834500,D
56962711300,J
56972356500,G
56994505100,D
57010598300,C
57010630800,L
57010791700,C
57016910800,P
57108793100,N
57108800200,D
57124918700,E
57189255724,O
57189536901,C
57190090180,I
57190492381,O
57191123329,J
57191341322,R
57191402449,E
57193254251,D
57193483322,G
57193663493,E
57193752465,E
57193779613,L
57193999940,O
57195422078,O
57195455693,G
57195644473,O
57196589506,E
57196919504,G
57198766778,J
57199897505,G
57200929009,P
57202344470,G
57202373049,C
57202419887,O
57202525435,J
57202768604,C
57202768608,D
57202912413,E
57203059758,D
57203069604,G
57203071060,L
57203077367,O
57203176035,P
57203256449,J
57203285766,E
57203380752,C
57203449967,R
57203452633,O
57203533753,J
57203573011,L
57203627821,L
57203629682,D
57203636677,I
57203746458,D
57204248699,H
57204260323,J
57204261377,E
57204319575,L
57204379078,F
57204413537,E
57206163289,I
57207515038,H
57207558531,N
57208457063,O
57208806519,D
57208920613,P
57209633419,L
57210470692,L
57210531333,J
57212812732,J
57213030430,F
57213493566,J
57213674953,L
57213694758,H
57217372531,D
57218960664,C
57221939269,D
57222817718,F
57223941590,F
57225688685,O
57923621000,O
