our_name,Scopus
Russell Sage College,60017593
Russian Federation,
Rutgers University,60119141
Rutgers University-Newark,60000473
RWTH Aachen,60016653
Ryerson University,60030838
Sabanci University,60008991
Sabrient Systems,114838395
Sacred Heart University,60022249
Saginaw Valley State University,60019713
Saint Anselm College,60014516
Saint Leo University,60272383
Saint Louis University,60028590
Saint Martin's College,60074960
Saint Mary's College (Indiana),60030780
Saint Mary's College of California,60033328
Saint Mary's University,60016297
Saint Marys University Canada,60016297
Saint Michael's College,60009106
Saint Peter's University,60004152
Saint Vincent College,60104018
Saint Xavier University,60012469
Salem State College,60017402
Salisbury University,60014170
Salt River Project,60011522
Salve Regina University,60019992
Sam Houston University,60025157
Samford University,60005872
Samsung Economic Research,105478155
Samsung Economic Research Institute,105478155
Samsung Institute (Korea),
San Diego State University,60018926
San Francisco State University,60027627
San Jose State University,60015609
Sandia National Laboratories,60007843
Santa Clara University,60010451
Santa Fe Institute,60030961
Sao Paulo School of Economics,60069326
Sapienza Università di Roma,60032350
Sarah Lawrence College,60023630
SAS Institute,60021975
Saudi Arabian Monetary Agency,100454822
Savannah State University,60014971
SciencesPo,60083821
SDS Capital,
Seattle Pacific University,60026953
Seattle University,60014543
Secretaría de Salud,60013839
Secretariat for Institutional support for Economic Research in Africa,
Securities and Exchange Commission,60032903
Self-employed,
Seoul City University,60027652
Seoul National University,60013682
Seton Hall University,60018676
SGH Warsaw School of Economics,60016640
Shenandoah University,60016735
Shepherd University,60002348
Shiga University,60033365
Shinshu University,60031955
Shippensburg University,60030730
Siena College,60005738
Simmons College,60006186
Simon Fraser University,60018491
Simpson College,60031308
Singapore Management University,60018933
Sivas Cumhuriyet University,60014110
Skidmore College,60014146
Slippery Rock University,60006205
Smith College,60001525
Sonoma State University,60014069
Sophia University,60002784
South African Revenue Service,60078849
South Carolina State University,60009439
South Dakota State University,60014826
South Korean Government,
Southeast Missouri State University,60017425
Southeastern Louisiana University,60005016
Southeastern Oklahoma State University,60006649
Southeastern University,60139014
Southern Arkansas University,60027962
Southern Company,
Southern Connecticut State University,60010061
Southern Cross University,60011941
Southern Illinois University,60029472
Southern Illinois University Edwardsville,60024334
Southern Methodist University,60017536
Southern New Hampshire University,60016918
Southern Oregon University,60023259
Southern University and A&M College,60005183
Southern Utah University,60031826
Southwest Baptist University,60159485
Southwest Minnesota State University,60026183
Southwestern Oklahoma State University,60028954
Southwestern University,60010230
St Lawrence University,60001127
St. Ambrose University,60007627
St. Bonaventure University,60030848
St. Catherine University,60009072
St. Cloud State University,60017152
St. Cloud University,60017152
St. Edward's University,60032973
St. Francis College,60159583
St. Francis Xavier University,60032048
St. John Fisher College,60074845
St. John's University,60025447
St. Johns University,60025447
St. Joseph's University,60002023
St. Lawrence University,60001127
St. Louis University,60028590
St. Mary's University,60032160
St. Norbert College,60001635
St. Olaf College,60004745
St. Thomas University,60026192
Stanford Institute for Economic and Policy Research,60012708
Stanford University,60012708
StataCorp LP,
State Street Associates,
Statistics Canada,60028395
Statistics Norway,60005094
Stefansson Arctic Institute,106965046
Stephen F. Austin State University,60017691
Steptoe & Johnson LLP,60024297
Stetson University,60021742
Stockholm School of Economics,60021562
Stockholm School of Economics in Riga,60088866
Stockholm University,60028378
Stockton University,60001509
Stone Harbour Investment Partners,
Stonehill College,60020863
Stony Brook University,60026415
Suffolk University,60008455
Sukhothai Thammathirat Open University,60030556
Sultan Qaboos University,60071768
"Sun Microsystems, New Zealand",
Sungard Institutional Brokerage Company,
Sunnydale,
SUNY Brockport,60007595
SUNY Cortland,60025800
SUNY Fredonia,60018819
SUNY Geneseo,60015902
SUNY New Paltz,60011073
SUNY Old Westbury,60009812
SUNY Oneonta,60021582
SUNY Oswego,60014235
SUNY Plattsburgh,60012851
SUNY Polytechnic Institute,60159743
SUNY Potsdam,60003560
"SUNY, Stony Brook",60026415
Susquehanna University,60031593
Sveriges Riksbank,60017435
Swarthmore College,60002817
Swiss National Bank,60002651
Syddansk Universitet,60019160
Syracuse University,60030551
Tamkang University,60018405
Tarleton State University,60009652
Tel Aviv University,60005681
Temple University,60030398
Tennessee State University,60007488
Tennessee Technological University,60029255
Texas A&M International University,60019871
Texas A&M University,60020547
Texas A&M University–Commerce,60092538
Texas A&M University–Corpus Christi,60002208
Texas A&M University–Kingsville,60032297
Texas Christian University,60019424
Texas Lutheran University,60159550
Texas Southern University,60028812
Texas State University,60030452
Texas Tech University,60021285
Texas Wesleyan University,60022064
Texas Woman's University,60029318
Tezukayama University,60017790
Thailand Development Research Institute,60032337
Thammasat University,60012521
The Brookings Institution,60010534
The College of Christ the King,60023437
The College of New Jersey,60005121
The Conference Board,
The Economist (London),
The Finance Project,
The GERPA Research Competitions,
The Judge Group,
The Nature Conservancy,
The New School,60004182
The Revenue Department (Thailand),
"The Senbazuru Group, LLC",
The Teacher Foundation,
Thomas P. Miller and Associates,120747126
Thompson Rivers University,60032309
Thomson Health Care,
Thunderbird School of Global Management,60116796
TIAA-CREF,60015459
Tilburg University,60017145
TISCO Finance Public Company Limited,
Torcuato Di Tella University,60015195
Touro College,60006462
Touro University International,60024618
Towson University,60004092
Toys R Us,
TransAlta,
Transylvania University,60000970
Trent University,60031024
Tri State University,60022557
Trinity Christian College,60158033
Trinity College Hartford,60022967
Trinity University,60023197
Troy State University,60000164
"Troy State University, Dothan",60020774
Truman State University,60000480
Tufts University,60023143
Tulane University,60017672
Tuskegee University,60009804
U.S. Air Force,60001262
U.S. Air Force Academy,60022225
U.S. Bank,
U.S. Bureau of Labor Statistics,60002180
U.S. Census Bureau,60079687
U.S. Competition Bureau,
U.S. Congressional Budget Office,60033340
U.S. Court of Appeals for the Fifth Circuit,
U.S. Court of Appeals for the Seventh Circuit,
U.S. Department of Agriculture,60032280
U.S. Department of Commerce,60000947
U.S. Department of Defense,60012471
U.S. Department of Health and Human Services,60020555
U.S. Department of Justice,60024009
U.S. Department of Labor,60027040
U.S. Department of Treasury,60016459
U.S. Environmental Protection Agency,60021439
U.S. Federal Trade Commission,60018468
U.S. Government Accountability Office,60024915
U.S. House of Representatives' Majority Leader,
U.S. International Trade Commission,60009478
U.S. Military Academy,60027596
U.S. Naval Academy,60032291
U.S. Small Business Administration,60022704
U.S. Trade Representative,
UBS,
Ulster University,60020730
Umea University,60031040
Union College,60021001
Union University,60015578
United Arab Emirates University,60008665
United Nations,60033103
United States Military Academy,60027596
Universidad Anahuac Mexico,60027461
Universidad Autónoma de Nuevo León,60025417
Universidad Catolica de Cordoba,60024640
Universidad Católica San Antonio de Murcia,60109394
Universidad Central de Venezuela,60001197
Universidad de la República Oriental del Uruguay,60071612
Universidad de Las Americas,60031120
Universidad de Montevideo,60071632
Universidad del Pacífico (Peru),60071258
Universidad ORT Uruguay,60071633
Universidad Panamericana,60012895
Universidad San Francisco de Quito,60072059
Universidade de Fortaleza,60015440
Universidade Federal de Uberlandia in Brazil,60015104
Universidade Federal do Ceara,60020457
Universität Basel,60023588
Universite Catholique de Louvain,60000874
Université Cheikh Anta Diop,60071540
Université du Québec en Outaouais,60020288
Universite Laval,60032619
Universiti Malaysia Sabah,60017880
Universiti Utara Malaysi,60002763
University at Albany,60011666
University at Buffalo,60032083
University College Dublin,60005141
University College London,60022148
University Indonesia,60069377
University Laval,60032619
University of Aberdeen,60015875
University of Adelaide,60009512
University of Akron,60032143
University of Alabama,60025371
"University of Alabama, Birmingham",60027086
"University of Alabama, Huntsville",60020583
University of Alaska Fairbanks,60011976
University of Alaska Southeast,60028323
"University of Alaska, Anchorage",60029489
University of Alberta,60030835
University of Alberto Hurtado,60088733
University of Alicante,60010844
University of Amsterdam,60002483
University of Arizona,60010065
University of Arkansas,60004862
University of Arkansas - Little Rock,60001241
University of Arkansas at Pine Bluff,60000885
University of Arkansas for Medical Sciences,60024885
"University of Arkansas, Little Rock",60001241
"University of Arkansas, Monticello",60026956
University of Auckland,60005686
University of Baltimore,60028611
University of Bath,60030480
University of Birmingham,60019702
University of Bonn,60007493
University of Botswana,60021221
University of Brasilia,60024989
University of Bridgeport,60032559
University of Bristol,60020650
University of British Columbia,60010365
University of Calgary,60002306
"University of California, Berkeley",60025038
"University of California, Davis",60014439
"University of California, Irvine",60007278
"University of California, Los Angeles",60027550
"University of California, Riverside",60029526
"University of California, San Diego",60030612
"University of California, Santa Barbara",60029241
"University of California, Santa Cruz",60024941
University of Cambridge,60031101
University of Canterbury,60020585
University of Cape Town,60000356
University of Carlos III Madrid,60001741
University of Central Arkansas,60020631
University of Central Florida,60022144
University of Central Missouri,60022819
University of Central Oklahoma,60010021
University of Chicago,60029278
University of Chile,60012464
University of Cincinnati,60025152
University of Colorado,60000221
University of Colorado Colorado Springs,60010265
"University of Colorado, Denver",60010307
University of Connecticut,60022659
University of Copenhagen,60030840
University of Cyprus,60071343
University of Dallas,60013025
University of Dayton,60008609
University of Delaware,60023004
University of Denver,60015404
University of Detroit Mercy,60006963
University of Dhaka,60014714
University of Dundee,60008877
University of Durham,60022175
University of East Anglia,60000112
"University of Economics, Prague",60017004
University of Essex,60001359
University of Evansville,60019844
University of Exeter,60026479
University of Ferrara,60024690
University of Findlay,60087935
University of Florida,60013959
University of Geneva,60004718
University of Georgia,60029747
University of Glamorgan,60017826
University of Glasgow,60001490
University of Graz,60022457
University of Guam,60072876
University of Guanajuato,60033291
University of Guelph,60015881
University of Hartford,60014612
University of Hawaii,60013791
"University of Hawaii, Hilo",60014837
"University of Hawaii, West Oahu",60012250
University of Helsinki,60002952
University of Hong Kong,60006541
University of Houston,60005837
University of Houston-Downtown,60103463
University of Houston-Victoria,60103477
"University of Houston, Clear Lake",60019245
University of Hull,60030469
University of Idaho,60033389
University of Illinois,60000745
University of Illinois at Urbana-Champaign,60000745
"University of Illinois, Chicago",60027561
"University of Illinois, Springfield",60005820
University of Indianapolis,60029331
University of International Business and Economics,60013503
University of Iowa,60024324
University of Kansas,60015457
University of Kentucky,60015941
University of Kiel,60012345
University of Kuwait,60038812
University of La Verne,60032877
University of Lausanne,60000239
University of Laval,60032619
University of Leeds,60012070
University of Lethbridge,60024776
University of London,60033387
University of Louisiana at Monroe,60023651
"University of Louisiana, Lafayette",60015161
University of Louisville,60020633
University of Macau,60022317
University of Maine,60008279
University of Maine Farmington,60018646
University of Manchester,60003771
University of Manitoba,60009697
University of Mary Hardin-Baylor,60074129
University of Mary Washington,60029032
University of Maryland,60020304
University of Maryland Eastern Shore,60005232
"University of Maryland, Baltimore County",60024997
"University of Maryland, College Park",60020304
University of Massachusetts,60014313
University of Massachusetts Boston,60024063
University of Massachusetts Dartmouth,60009060
University of Melbourne,60026553
University of Memphis,60028599
University of Miami,60029251
University of Michigan,60025778
University of Michigan-Dearborn,60006371
University of Michigan-Flint,60021492
University of Minnesota,60029445
University of Minnesota Duluth,60009875
University of Minnesota Twin Cities,60029445
University of Mississippi,60010491
University of Missouri,60006173
University of Missouri-St. Louis,60030171
University of Missouri–Kansas City,60007056
"University of Missouri, Kansas City",60007056
University of Montana,60022355
University of Monterrey,60011167
University of Montevallo,60005459
University of Montreal,60009507
University of Munich,60028717
University of Navarra,60033320
University of Nebraska,60026306
University of Nebraska at Kearney,60020453
University of Nebraska at Omaha,60018988
University of Nebraska-Lincoln,60026306
"University of Nevada, Las Vegas",60031892
"University of Nevada, Reno",60001769
University of New Brunswick,60016983
University of New England Australia,60022462
University of New Hampshire,60027576
University of New Haven,60018969
University of New Mexico,60033021
University of New Orleans,60022758
University of New South Wales,60028333
University of Newcastle,60010571
University of North Alabama,60006483
University of North Carolina,60025111
University of North Carolina - Chapel Hill,60025111
University of North Carolina at Asheville,60093602
University of North Carolina at Pembroke,60028785
University of North Carolina Wilmington,60029194
"University of North Carolina, Charlotte",60006951
"University of North Carolina, Greensboro",60018474
University of North Dakota,60026161
University of North Florida,60000135
University of North Texas,60024438
University of Northern Colorado,60016338
University of Northern Iowa,60029288
University of Notre Dame,60021508
University of Nottingham,60015138
University of Oklahoma,60030931
University of Oregon,60012317
University of Otago,60017311
University of Ottawa,60028897
University of Oxford,60026851
University of Padua,60000481
University of Pennsylvania,60006297
University of Phoenix,60027183
University of Pittsburgh,60015543
"University of Pittsburgh, Johnstown",60159738
University of Portland,60005179
University of Portsmouth,60025475
University of Puerto Rico,60071503
University of Puerto Rico at Mayagüez,60071533
University of Puget Sound,60017502
"University of Punjab, Lahore",60053707
University of Quebec,60027863
University of Quebec in Montreal,60027863
University of Queensland,60031004
University of Reading,60012197
University of Redlands,60031781
University of Regina,60030101
University of Rhode Island,60010806
University of Richmond,60022793
University of Rio Grande,60159556
University of Rochester,60027165
University of Salerno,60007061
University of San Andres,60008314
University of San Diego,60002214
University of San Francisco,60023691
University of São Paulo,60008088
University of Saskatchewan,60015186
University of Scranton,60033005
University of Sharjah,60070813
University of Siena,60002838
University of South Alabama,60000705
University of South Australia,60031846
University of South California,60029311
University of South Carolina,60018179
University of South Carolina Aiken,60032235
"University of South Carolina, Spartanburg",60024534
University of South Dakota,60028179
University of South Florida,60007740
University of Southampton,60025225
University of Southern California,60029311
University of Southern Indiana,60015664
University of Southern Maine,60010494
University of Southern Mississippi,60007027
University of Southern Queensland,60020321
University of St Thomas Minnesota,60009635
University of St Thomas Texas,60030200
University of Stirling,60025200
University of Strathclyde,60024724
University of Sydney,60025709
University of Tampa,60003527
University of Tasmania,60015356
University of Technology Sydney,60023932
University of Tennessee,60015574
"University of Tennessee, Chattanooga",60002804
"University of Tennessee, Martin",60016127
University of Texas,60013372
University of Texas at Austin,60013372
University of Texas Medical Branch,60014569
"University of Texas, Arlington",60003467
"University of Texas, Austin",60013372
"University of Texas, Brownsville",60021976
"University of Texas, Dallas",60009415
"University of Texas, El Paso",60007801
"University of Texas, Pan American",60010346
"University of Texas, Permian Basin",60023800
"University of Texas, San Antonio",60003212
"University of Texas, Tyler",60019188
University of the Andes,60052106
University of the Cumberlands,60032138
University of the District of Columbia,60004089
University of the Incarnate Word,60023045
University of the Pacific,60013813
University of the South,60006192
University of the Virgin Islands,60072939
University of the West Indies,60071347
University of Tokyo,60025272
University of Toledo,60021624
University of Toronto,60016849
University of Tsukuba,60014256
University of Tulsa,60015573
University of Utah,60025488
University of Vermont,60009500
University of Victoria,60003122
University of Virginia,60021918
University of Waikato,60004424
University of Wales,60103681
University of Warwick,60022020
University of Washington,60015481
University of Waterloo,60014171
University of West Alabama,60008416
University of West Florida,60021071
University of West Georgia,60026287
University of Western Australia,60031806
University of Western Ontario,60010884
University of Windsor,60012468
University of Wisconsin,60032179
"University of Wisconsin, Eau Claire",60006020
"University of Wisconsin, Green Bay",60007809
"University of Wisconsin, La Crosse",60021023
"University of Wisconsin, Madison",60032179
"University of Wisconsin, Milwaukee",60019909
"University of Wisconsin, Oshkosh",60029146
"University of Wisconsin, Parkside",60023646
"University of Wisconsin, Platteville",60014628
"University of Wisconsin, River Falls",60031316
"University of Wisconsin, Stevens Point",60020686
"University of Wisconsin, Superior",60005756
"University of Wisconsin, Whitewater",60007034
University of Wollongong,60011664
University of Wyoming,60008827
University of York,60016418
University of Zurich,60012614
Urban Institute,60012386
Ursinus College,60001939
USAID,60008275
USDA Economic Research Service,60032280
USDA Federal Order,60032280
Utah State University,60031706
Utah Valley State College,60006476
Utica College,60089917
Valdosta State University,60000711
Valparaiso University,60025751
"Valuation Resource Group, LLC",
Vancouver Island University,60101614
Vanderbilt University,60003915
Vassar College,60024878
Venezuelan Government,
Veterans Health Administration,
Victoria University,60006234
Victoria University of Wellington,60002316
Vienna University of Economics and Business,60000583
Villa Julie College,60138595
Villanova University,60000009
Virginia Commonwealth University,60002476
Virginia Military Institute,60002227
Virginia Polytechnic Institute and State University,60027090
Virginia State University,60002245
Virginia Union University,60090446
VU University Amsterdam,60008734
Wabash College,60023492
Wake Forest University,60033114
Waldorf College,60212062
Walsh College,60087812
Warsaw Institute for Socio-Economic Research,
Wartburg College,60012991
Waseda University,60023462
Washburn University,60024977
Washington & Jefferson College,60159491
Washington & Lee University,60023603
Washington Mutual,60000865
Washington State Department of Ecology,60103140
Washington State University,60018208
Washington University in St. Louis,60010261
Wayland Baptist University,100380374
Wayne State University,60009408
Weber State University,60022502
Webster University,60031355
Welch Consulting,111895926
Wellesley College,60009828
Wells Fargo,60025452
Wesleyan College,60004515
Wesleyan University,60029788
West Chester University,60028664
West Texas A&M University,60112576
West Virginia State University,60021143
West Virginia University,60021143
West Virginia University Institute of Technology,60014723
Western Carolina University,60007289
Western Colorado University,60007630
Western Connecticut State University,60005713
Western Illinois University,60010100
Western Kentucky University,60014611
Western Michigan University,60000879
Western New England College,60010458
Western New Mexico University,60012682
Western Oregon University,60022705
Western Sydney University,60017803
Western Washington University,60003631
Westfield State College,60010175
Westminster College (Pennsylvania),60031915
Westminster College (Utah),60004721
Westmont College,60006024
Wharton Research Data Services,
Wheaton College (Massachusetts),60028284
"Wheaton College, IL",60007082
"Wheaton College, MA",60028284
Whitman College,60031554
Wichita State University,60017742
Widener University,60006796
Wilfrid Laurier University,60000521
Wilkes University,60022989
Willamette University,60004169
William Jewell College,60011448
William Paterson University,60013096
William Paterson University of New Jersey,60013096
Williams College,60021497
Williams Energy Power Marketing and Trading,
Willis Towers Watson,60115495
Wingate University,60004033
Winona State University,60020638
Winston-Salem State University,60017036
Winthrop University,60026305
Wisconsin Lutheran College,60159559
Wittenberg University,60022478
Wofford College,60006556
Woodbury University,60121754
Worcester Polytechnic Institute,60011410
World Bank,60016293
World Bank Institute,60112834
World Health Organization,60027142
Wright State University,60018306
Xavier University,60029200
Xavier University of Louisiana,60017202
Yale University,60005455
Yeditepe University,60016446
Yeshiva University,60028510
Yokohama National University,60018279
Yokohoma City University,60014925
Yonsei University,60016912
York College of Pennsylvania,60002288
York University,60033420
Youngstown State University,60004960
Yuan Ze University,60013395
Ziff Brothers Investments,100907730
